epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,350.744,1.4129,2.27072,0.00989,0.54794,0.61936,0.59379,0.3546,1.32924,1.37002,0.00848,0.00998849,0.0033295,0.00998849,0.0033295,0.0766935,0.0700345,0.00998849,0.0033295
2,658.171,1.2638,1.53489,0.00865,0.64284,0.66821,0.70637,0.43697,1.3014,1.06607,0.00837,0.0199863,0.00666211,0.0199863,0.00666211,0.053358,0.0400338,0.0199863,0.00666211
3,940.273,1.29889,1.44207,0.00894,0.60754,0.68043,0.6952,0.45518,1.23383,1.48579,0.0078,0.0299755,0.00999182,0.0299755,0.00999182,0.0300138,0.0100302,0.0299755,0.00999182
4,1222.51,1.31404,1.40788,0.00915,0.62655,0.67144,0.70294,0.49095,1.09907,1.02815,0.00684,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1501.72,1.2673,1.34376,0.00878,0.62537,0.65623,0.69757,0.49649,1.06662,1.36848,0.00659,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1776.07,1.23157,1.29344,0.00849,0.66143,0.71135,0.75961,0.52412,1.11649,0.94691,0.00675,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2053.99,1.21192,1.27633,0.00833,0.67904,0.69913,0.7636,0.5447,1.0457,0.88742,0.00641,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2331.13,1.19874,1.26547,0.00828,0.67252,0.71537,0.765,0.55442,1.01833,0.88434,0.00625,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,2606.13,1.1846,1.23882,0.00814,0.66476,0.73564,0.77347,0.55651,1.0185,0.89198,0.00605,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,2882,1.17174,1.21893,0.00801,0.6977,0.72333,0.78728,0.57532,0.98966,0.84614,0.00597,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3160.45,1.16807,1.22124,0.00798,0.67228,0.72658,0.77546,0.56926,0.97472,0.95161,0.00594,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,3440.43,1.15727,1.20695,0.0079,0.69829,0.72627,0.7922,0.59731,0.92259,0.84462,0.00565,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,3720.77,1.14882,1.19675,0.00784,0.709,0.72921,0.79414,0.6005,0.92805,0.79639,0.00559,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,3999.21,1.14267,1.19019,0.00776,0.70253,0.73369,0.79897,0.60359,0.9186,0.79982,0.00552,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,4277.84,1.13453,1.18858,0.00772,0.70156,0.73438,0.79935,0.60169,0.93203,0.85323,0.00555,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,4558.43,1.13574,1.18661,0.00777,0.71587,0.73145,0.80535,0.60981,0.90964,0.81148,0.00541,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,4838.8,1.13034,1.18288,0.00772,0.71156,0.73578,0.80686,0.61155,0.90763,0.78889,0.0054,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,5117.82,1.12355,1.16853,0.00765,0.71985,0.73732,0.81181,0.62016,0.89504,0.79666,0.00533,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,5394.91,1.12647,1.16837,0.00767,0.69908,0.74333,0.79987,0.60028,0.9194,0.84335,0.00547,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,5675.91,1.12267,1.16142,0.00765,0.72331,0.7306,0.81112,0.61775,0.89818,0.81254,0.00531,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,5959.3,1.11593,1.15585,0.00758,0.72459,0.73747,0.81506,0.6197,0.89699,0.84111,0.00527,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,6239.97,1.10996,1.1491,0.00754,0.71596,0.74043,0.81119,0.62047,0.88605,0.79299,0.00529,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,6519.02,1.10917,1.1463,0.00754,0.71744,0.75356,0.81903,0.62859,0.88252,0.80616,0.00522,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,6798,1.1067,1.15213,0.00754,0.71539,0.75541,0.8212,0.63095,0.8805,0.77714,0.00522,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,7083.06,1.10743,1.153,0.00752,0.72073,0.75054,0.82071,0.63135,0.877,0.79295,0.00517,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,7364.65,1.10129,1.14669,0.00752,0.71705,0.75271,0.81826,0.62986,0.87226,0.80788,0.00514,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,7642.26,1.09909,1.13715,0.00745,0.72613,0.74935,0.82224,0.63483,0.86806,0.79281,0.00508,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,7920.74,1.09868,1.13426,0.00747,0.72024,0.76368,0.82507,0.63781,0.86742,0.78754,0.00508,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,8202.45,1.09488,1.13555,0.00746,0.71921,0.7616,0.82567,0.63901,0.86467,0.78946,0.00507,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,8483.55,1.0916,1.13768,0.0074,0.73087,0.7483,0.8248,0.63835,0.86169,0.784,0.00506,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,8764.34,1.09396,1.13379,0.00742,0.73017,0.75209,0.82515,0.63906,0.86323,0.78298,0.00508,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,9043.96,1.08761,1.12796,0.00739,0.73044,0.75139,0.82602,0.6402,0.85995,0.78072,0.00506,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
